census_fips,tract_n_crimes
545500,3093
546400,1102
501300,2490
524800,1263
541400,1953
534600,1144
504900,2652
517500,3576
546800,3609
540400,2390
516700,1589
533200,859
533400,2204
524000,1446
517200,8235
523200,1322
526300,1168
525600,795
546100,3032
510500,1179
545900,3436
534200,2731
541000,3002
521100,992
513700,2113
512100,2126
520300,1673
538100,930
501500,3168
516600,2329
537500,2561
504800,755
545600,2111
504200,1999
545800,3392
536100,2434
541300,2932
533000,843
541800,1554
531900,722
536700,991
501100,3282
533100,1177
517300,1857
543100,1154
502000,1281
538500,3009
514100,1517
524100,2108
537700,2838
507500,1942
524200,1847
525800,1514
536200,1563
513200,880
506400,1462
533900,3157
507200,917
501800,2020
538700,3525
543700,1799
505500,1755
546700,3492
535300,3450
517000,1373
542400,2359
512600,1667
541500,1600
522000,1311
545200,2592
505400,2075
504000,838
536900,3165
516500,2417
542200,2396
533700,870
501700,1482
511000,1516
542600,2221
539600,2208
505100,3643
535100,1846
538600,2439
541200,2122
525700,2077
514300,1846
531800,1470
518400,353
515400,668
542800,1161
512900,1437
500500,1689
524300,1016
503500,3045
543500,1089
506600,2177
532700,429
537300,2058
506800,2934
520800,3082
521500,2179
520200,2001
541100,2756
540600,2361
511900,1522
533600,1169
515600,1073
533300,793
545100,1362
523400,1632
511300,1270
514200,1337
538900,1980
544000,1418
545700,1829
539300,2028
510400,1056
531700,1464
546200,1530
534700,2025
500300,2611
546600,1760
500600,3002
503100,2601
543000,1074
534300,1142
539100,1270
531500,2173
522300,1974
536600,2165
544300,1783
504700,1113
508100,2539
504300,1641
535500,1719
516000,1460
506300,1697
539400,2083
534100,1507
531600,1308
531200,1157
536800,1385
539200,2754
545300,2253
535600,1824
516800,956
540800,1534
522400,1444
530200,2227
518600,585
518000,1350
511400,1612
516300,776
546900,1052
522500,3056
542300,2185
527300,664
511200,1429
518900,3051
507100,1769
503400,1447
530500,2002
505200,2467
534400,1442
540200,3411
500700,3737
537100,1888
534500,720
501400,2727
540500,2662
539700,1463
533500,639
512300,1244
525000,1023
500200,2566
505000,1336
510600,1682
508000,1854
536500,1870
507400,2174
530900,1432
521300,511
538300,2821
514500,722
530800,1826
543200,3218
500100,2597
531100,952
541700,1397
520400,1279
503200,2990
545400,1732
543800,765
501000,2578
526500,1305
544200,1639
540700,2715
513600,872
515900,1144
506200,1730
537000,2740
503300,3352
539500,3495
501200,1631
507000,2109
506700,973
500800,1820
515700,1525
985200,803
535000,2147
518500,479
538400,1717
540100,2298
538800,973
524700,2271
542500,1382
513900,1431
530400,1228
515300,1915
539000,1758
985900,140
530100,1557
500400,1399
540900,1937
532200,853
516900,882
543400,2037
500900,3896
546000,2808
542900,1812
543900,1185
522100,711
506500,1422
516200,704
523300,1105
515200,1142
531400,946
542100,3210
504400,1971
536400,1879
506900,2569
532300,677
520700,3831
540300,3205
532600,1468
523100,809
513300,785
512200,1019
542700,883
506100,1292
985000,204
501600,2372
536300,2151
522200,376
523800,1483
526200,881
526400,602
526000,1342
518800,806
535200,2422
530300,1504
985100,501
525500,888
535400,1696
531300,1147
503900,1404
537600,2199
538200,909
532400,985
525400,1052
503600,1347
524900,837
521400,1865
526100,717
535700,1065
504100,1572
537800,1561
543600,1138
527200,535
521800,554
544100,1856
501900,1559
507900,1558
516100,697
551500,15
546300,1100
524500,209
537200,1266
510700,358
512400,1018
517100,911
507300,1715
507800,1211
546500,1487
516400,726
521900,2569
985300,665
551400,21
985500,43
551600,12
