census_fips,population
500100,"3,996"
500200,"3,037"
500300,"2,149"
500400,751
500500,"1,507"
500600,"2,692"
500700,"4,109"
500800,"2,569"
500900,"3,706"
501000,"2,945"
501100,"3,328"
501200,"1,609"
501300,"3,078"
501400,"3,624"
501500,"4,056"
501600,"1,955"
501700,"2,218"
501800,"4,117"
501900,"2,490"
502000,"1,858"
502600,"3,321"
502700,"2,359"
503100,"2,996"
503200,"3,002"
503300,"3,407"
503400,886
503500,"2,709"
503600,"1,476"
503900,"1,730"
504000,"1,093"
504100,"1,173"
504200,"1,644"
504300,"1,834"
504400,"1,416"
505100,"2,888"
505200,"2,943"
505400,"1,927"
505600,"4,078"
505700,"2,936"
505800,"3,337"
506100,"1,875"
506200,"1,814"
506300,"1,860"
506400,842
506500,"1,963"
506600,"2,713"
506700,"1,023"
506800,"3,904"
506900,"3,579"
507000,"2,720"
507100,"2,266"
507200,"1,003"
507300,"2,285"
507400,"2,488"
507500,"2,221"
508000,"1,098"
508100,"1,271"
509000,"1,975"
509100,"4,563"
510600,"5,499"
511200,"1,188"
511300,"2,231"
511400,"2,005"
511900,"1,559"
512800,"2,415"
513200,"1,504"
513300,"1,971"
513700,"2,982"
513800,"2,367"
513900,"1,556"
514100,"1,732"
514200,"1,828"
514300,"2,163"
514500,861
515200,"1,315"
515300,"2,708"
515400,"1,358"
515700,"4,618"
516000,"2,235"
516400,"1,097"
516500,"2,560"
516600,"2,377"
516700,"3,218"
516800,569
516900,"2,111"
517000,"2,978"
517100,"1,552"
517200,"1,758"
517300,"2,131"
517500,"2,856"
518000,"2,280"
518900,"2,121"
519000,"1,091"
519100,"1,037"
519200,"1,440"
519300,"1,208"
520200,"3,650"
520300,"2,622"
520400,"1,940"
520700,"3,151"
520800,"1,242"
521100,"1,544"
521400,"1,403"
521500,"1,354"
521800,"1,466"
521900,"2,943"
522000,"1,789"
522300,"1,193"
522400,924
522500,"1,442"
522800,"1,186"
523100,"1,336"
523200,"3,247"
523300,"2,914"
523400,"2,196"
523800,"3,759"
524000,"2,553"
524100,"3,730"
524200,"4,366"
524300,"2,626"
524500,83
524600,"1,401"
524700,"3,768"
524800,"2,586"
525400,"1,795"
525700,"4,403"
525800,"1,781"
525900,"2,610"
526000,"3,043"
526100,"2,753"
526200,"3,026"
526300,"3,345"
526400,"1,417"
526500,"1,796"
527900,"1,835"
530100,"2,336"
530200,"3,546"
530300,"1,341"
530400,"1,283"
530500,"2,253"
530800,"1,394"
530900,"1,698"
531100,946
531200,"2,242"
531300,"1,153"
531400,"1,518"
531500,"1,276"
531500,809
531600,"1,644"
531700,"1,645"
531800,"1,500"
531900,866
532100,"2,162"
532400,"1,569"
532600,"2,068"
532700,558
533000,"1,426"
533100,"1,388"
533200,"1,104"
533300,"1,196"
533400,"2,215"
533600,"1,390"
533800,"1,921"
533900,"3,356"
534100,"1,691"
534200,"2,991"
534300,"1,087"
534400,"1,474"
534700,"3,056"
534800,"2,205"
535000,"2,411"
535100,"1,717"
535200,"2,019"
535300,"3,950"
535600,"3,727"
535700,"1,313"
535800,"3,944"
536100,"3,327"
536200,"2,165"
536300,"2,736"
536400,"2,145"
536500,"2,097"
536600,"2,535"
536700,"1,055"
536800,"1,667"
536900,"3,374"
537000,"3,334"
537100,"1,946"
537200,583
537300,"1,987"
537500,"2,714"
537600,"3,365"
537700,"2,874"
537800,"1,545"
538100,"2,136"
538200,"1,972"
538300,"2,162"
538400,"3,330"
538500,"5,184"
538600,"4,758"
538700,"3,823"
538800,"1,549"
538900,"3,465"
539000,"2,769"
539100,"1,788"
539200,"4,863"
539300,"3,793"
539400,"3,707"
539500,"2,921"
539600,"3,197"
539700,"2,072"
540100,"3,201"
540200,"3,183"
540300,"3,746"
540400,"2,632"
540500,"3,466"
540600,"3,274"
540700,"3,193"
540800,"2,110"
540900,"3,420"
541000,"3,775"
541100,"2,921"
541200,"2,046"
541300,"2,664"
541400,"2,642"
541500,"3,625"
541700,"2,538"
541800,"2,533"
542100,"4,547"
542200,"3,644"
542300,"2,255"
542400,"2,651"
542500,"2,475"
542600,"3,168"
542900,"3,319"
543000,"1,778"
543100,"2,455"
543200,"3,008"
543300,"3,315"
543400,"3,132"
543500,"1,210"
543700,"1,785"
543900,785
544000,"2,534"
544100,"2,222"
544200,"2,005"
544300,"2,428"
544800,"1,775"
545100,"1,026"
545200,"2,641"
545500,"3,878"
545600,"5,319"
545700,"2,925"
545800,"5,518"
545900,"3,758"
546000,"2,925"
546100,"3,952"
546200,"3,067"
546300,"1,792"
546600,"1,996"
546700,"2,816"
547000,"3,512"
547100,"4,714"
547200,"3,982"
550100,"3,945"
550200,"4,109"
550300,"3,541"
550400,"1,648"
550500,"4,030"
550600,"2,696"
550700,"5,817"
550800,"1,635"
550900,"2,570"
551100,"5,347"
551200,"3,982"
551300,"4,383"
551400,"4,431"
551500,"2,441"
551600,"4,237"
551700,"3,399"
551800,"3,759"
552000,"3,701"
552100,"5,760"
552200,"4,685"
552300,"4,656"
552400,"3,524"
552800,"6,102"
553000,918
553100,"1,295"
553200,572
553600,"1,931"
553800,"1,370"
554100,"4,247"
554200,"3,160"
554300,"5,157"
554400,"3,404"
554500,"2,766"
554600,"3,756"
554700,"3,297"
554800,"3,611"
554900,"3,352"
555100,"4,697"
555300,"3,402"
555400,"2,918"
555500,"3,050"
555600,"2,687"
556100,"3,360"
556200,"2,783"
556300,"3,263"
556400,"4,508"
556500,"2,172"
556600,"3,427"
556700,"2,680"
556800,"1,810"
556900,"3,686"
557000,"3,074"
557100,"2,626"
557200,"2,081"
557300,"2,220"
557400,"3,363"
557500,"3,922"
557600,"3,039"
557700,"4,258"
557900,"4,431"
558000,"4,296"
558100,"3,451"
558200,"4,461"
558300,"1,906"
558400,"3,903"
558500,"3,863"
558600,"1,926"
558700,"2,729"
558800,"2,743"
558900,"1,866"
559000,"2,710"
559100,"2,626"
559200,"2,096"
559800,"2,891"
560100,"2,793"
560200,"2,034"
560200,"3,562"
560300,"3,598"
560400,"6,471"
561200,"7,688"
561300,"4,350"
561300,"4,055"
561600,"4,056"
561700,"2,366"
561900,"7,117"
562300,"2,173"
562400,"5,439"
562500,"1,975"
562600,"3,764"
562700,"3,631"
562800,"3,461"
562900,"3,326"
563200,"3,022"
563300,"3,023"
563400,"5,019"
563500,"6,023"
563600,"2,078"
563700,"1,928"
563800,"2,954"
563900,"2,650"
564000,"2,044"
564100,"4,541"
564200,"3,944"
564300,"2,689"
564400,"6,131"
564400,"6,452"
564500,"6,122"
564500,"3,670"
564500,"3,498"
564500,"8,340"
564600,"7,112"
564700,"4,849"
564800,"4,819"
564900,"2,557"
565000,"5,194"
565100,"3,691"
565200,"5,239"
565300,"1,927"
565300,"4,478"
565600,"2,088"
565700,"3,529"
565800,"3,751"
565900,"2,626"
566400,"1,118"
566500,"2,376"
566600,"2,036"
566700,"3,977"
566800,"3,057"
566900,"5,149"
567000,"3,505"
567100,"3,721"
567200,"3,577"
567200,"3,106"
567300,"4,643"
567400,"2,732"
567800,"4,992"
567900,"2,905"
568000,"2,266"
568200,"3,838"
568300,"4,259"
568400,"3,799"
568500,"4,489"
568700,"3,806"
568800,"3,756"
568900,"2,697"
569100,"2,504"
569200,"2,747"
569300,"3,688"
569400,"2,857"
569500,"2,791"
569600,"3,497"
569700,"4,328"
569800,"2,494"
569900,"2,474"
570100,"4,107"
570200,"3,043"
570400,"5,360"
570500,"3,646"
570600,"2,192"
570800,"2,935"
570900,"2,560"
571000,"2,245"
571500,"5,226"
571600,"1,929"
571700,"2,758"
571800,"3,640"
571900,"3,035"
572000,"2,213"
572100,"7,106"
572200,"7,155"
572400,"1,512"
572500,"1,906"
572600,"5,439"
572700,"4,624"
572800,"5,929"
572900,"2,660"
573000,"3,340"
573100,"4,820"
573300,"4,463"
573400,"5,706"
573500,"5,119"
573600,"7,392"
573700,"2,070"
573700,"7,178"
573800,"5,715"
573900,"6,018"
574000,"6,694"
574100,"4,875"
574200,"3,265"
574300,"3,774"
574600,"5,352"
574700,"4,979"
574800,"4,588"
574900,"1,895"
575000,"4,702"
575100,"2,712"
575200,"4,389"
575300,"3,804"
575400,"3,437"
575500,"4,184"
575600,"1,861"
576000,"1,922"
576100,"6,260"
576200,"2,566"
576300,"2,383"
576400,"3,596"
576500,"3,901"
576600,"4,361"
576700,"3,649"
577000,"4,419"
