,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
0,520800,1242.0,155800.0,-0.37561,55545,4.069021739130435,0.2704041215603774,184,77838,83.0,10.924948782015823,5.214935757608986,7.124478262493424,4.418840607796598
1,521400,1403.0,138900.0,-0.714736,31980,4.4915492957746475,0.3595509579114476,71,50707,62.0,10.372865986387945,4.2626798770413155,7.246368080102461,4.127134385045092
2,574900,1895.0,121700.0,-0.049501,85557,4.247663551401869,0.36104287984886785,321,106250,,11.356938099468012,5.771441123130016,7.546974117516527,
12,580700,3484.0,113000.0,-0.060878,20235,4.433070866141732,0.3502697628498747,127,61544,,9.915169057309965,4.844187086458591,8.155936337972394,
13,583600,2593.0,97600.0,-0.06872,4634,4.296296296296297,0.39464384151006393,27,92083,,8.441175704992322,3.295836866004329,7.860570785538664,
14,520700,3151.0,0.0,-0.756464,62987,4.224025974025974,0.3348091340291311,154,76143,152.0,11.050683634874394,5.0369526024136295,8.055475141757274,5.0238805208462765
16,517500,2856.0,0.0,-0.892013,19291,3.8989583333333333,0.22438533874085842,96,31776,172.0,9.867393944887889,4.564348191467836,7.957177323459475,5.147494476813453
17,550200,4109.0,181800.0,0.459207,5195,4.506382978723405,0.3825914430312214,47,83995,,8.555451903533328,3.8501476017100584,8.32093496888341,
22,516600,2377.0,64100.0,-0.965866,5107,4.145833333333333,0.2653920813061665,24,36985,86.0,8.538367426647644,3.1780538303479458,7.773594467360194,4.454347296253507
23,516500,2560.0,217000.0,-0.240863,24332,4.136,0.2876191337127832,100,115781,46.0,10.099547635440596,4.605170185988092,7.847762537473608,3.828641396489095
25,515300,2708.0,63700.0,-1.106039,5038,4.264705882352941,0.3281833850948196,34,33640,67.0,8.524764456912555,3.5263605246161616,7.903965634032166,4.204692619390966
27,547000,3512.0,,,3907,3.8208333333333333,0.20215113854146735,24,33804,74.0,8.27052509505507,3.1780538303479458,8.163940954755008,4.30406509320417
28,504200,1644.0,69400.0,-1.050306,2771,4.133333333333334,0.2001889744152391,15,44453,53.0,7.9269635448629785,2.70805020110221,7.404887575616125,3.970291913552122
29,573600,7392.0,115000.0,-0.545483,15412,4.162195121951219,0.24323240772478372,82,25333,,9.642901705746048,4.406719247264253,8.90815361332152,
30,546700,2816.0,52500.0,-0.821786,977,4.1,0.2352986797074869,16,29110,100.0,6.884486652042782,2.772588722239781,7.943072717277933,4.605170185988092
31,575100,2712.0,105800.0,0.272883,5446,4.246875,0.33783712662426063,32,46750,,8.602636673233706,3.4657359027997265,7.905441649060286,
33,516400,1097.0,62100.0,-0.979491,6450,4.314285714285714,0.29805602198825054,28,71500,16.0,8.771835409789817,3.332204510175204,7.00033446027523,2.772588722239781
34,552200,4685.0,70200.0,-0.876389,7336,4.278947368421052,0.2788575353841692,57,37222,,8.9005490139363,4.04305126783455,8.452121194672523,
36,545900,3758.0,73600.0,-0.575888,1881,4.178947368421053,0.20261935995890118,19,27411,88.0,7.53955882930103,2.9444389791664403,8.231642179973411,4.477336814478207
37,512800,2415.0,,,5330,4.129545454545454,0.26592832363315383,44,25160,126.0,8.58110651715989,3.784189633918261,7.789454566086673,4.836281906951478
39,552000,3701.0,82600.0,-0.632263,8109,4.12,0.26224224134477697,55,44524,,9.000729834944558,4.007333185232471,8.216358332386156,
40,507400,2488.0,51000.0,-0.91542,2080,4.0249999999999995,0.20491208671566022,24,55313,54.0,7.640123172695364,3.1780538303479458,7.81923445385907,3.9889840465642745
41,542600,3168.0,83200.0,-0.637299,2286,4.347619047619047,0.23532697038197736,21,41083,46.0,7.734558844354756,3.044522437723423,8.060855752934316,3.828641396489095
42,531300,1153.0,58600.0,-1.030154,242,4.14,0.312623339729225,5,23205,36.0,5.488937726156687,1.6094379124341003,7.050122520269059,3.58351893845611
46,578500,6408.0,78800.0,-0.041433,6927,4.087272727272728,0.26724349794261243,55,37989,,8.843182098022606,4.007333185232471,8.765302488748196,
47,551300,4383.0,110300.0,0.112444,5748,4.148148148148148,0.26709677768235124,27,91705,2.0,8.656607247198915,3.295836866004329,8.38548870041881,0.6931471805599453
48,550400,1648.0,217900.0,0.626198,6357,4.194444444444445,0.3175655314380885,54,168125,,8.757311846936409,3.9889840465642745,7.4073177104694174,
49,574100,4875.0,122700.0,-0.361601,15834,4.110112359550562,0.2949481838048589,89,42827,,9.669914805731379,4.48863636973214,8.491875383431948,
50,520200,3650.0,114500.0,-0.667916,9801,4.086111111111111,0.24108363000721647,72,43798,35.0,9.19023970026918,4.276666119016055,8.202482446576537,3.5553480614894135
51,518900,2121.0,0.0,-1.241453,34512,4.389130434782609,0.3290506599545155,138,26786,130.0,10.449062368628937,4.927253685157205,7.659642954564682,4.867534450455582
54,517200,1758.0,0.0,-0.621355,154403,4.091292875989446,0.27931795006739507,379,88750,244.0,11.947321346435865,5.937536205082426,7.471932078245122,5.497168225293202
57,517000,2978.0,126000.0,-0.237645,4878,4.3125,0.339674782362647,32,68846,45.0,8.492490578775866,3.4657359027997265,7.999007213243955,3.8066624897703196
