,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,census_fips,price,crime_count,census_tract_fips
0,M2XMDFFwed7IFCJ9Ey6Mhw,motown-historical-museum-detroit,Motown Historical Museum,https://s3-media2.fl.yelpcdn.com/bphoto/x3X4dvrPwC-3VglfIbZMSg/o.jpg,False,https://www.yelp.com/biz/motown-historical-museum-detroit?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,330,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,"{'latitude': 42.36414, 'longitude': -83.08835}",[],"{'address1': '2648 W Grand Blvd', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['2648 W Grand Blvd', 'Detroit, MI 48208']}",13138752264.0,(313) 875-2264,283.6540283773617,261635224001012.0, ,0.0,522400
1,-FmYbJ3X8LrhqodoFRnWrQ,papas-pizza-and-bbq-detroit-3,Papa's Pizza & BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/zIxBx9kDiB60KcZDw8uw2A/o.jpg,False,https://www.yelp.com/biz/papas-pizza-and-bbq-detroit-3?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,23,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 42.365547, 'longitude': -83.087024}","['delivery', 'pickup']","{'address1': '2697 Grand Blvd', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['2697 Grand Blvd', 'Detroit, MI 48208']}",13138755555.0,(313) 875-5555,475.6810045320332,261635326001010.0,$,1.0,532600
2,bgicUDxNMXX3X6rSQlkTBA,marble-bar-detroit,Marble Bar,https://s3-media1.fl.yelpcdn.com/bphoto/LHb4KzDXLHikKifR-NyV6A/o.jpg,False,https://www.yelp.com/biz/marble-bar-detroit?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,46,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.0,"{'latitude': 42.3630104064941, 'longitude': -83.0851440429688}",[],"{'address1': '1501 Holden St', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['1501 Holden St', 'Detroit, MI 48208']}",13133383674.0,(313) 338-3674,480.1590526049127,261635224001018.0,$,0.0,522400
3,mFNSUHXwnvugvqsc5Bl6bA,kfc-detroit-9,KFC,https://s3-media3.fl.yelpcdn.com/bphoto/56nhyL5gi_k760xkHBdMSQ/o.jpg,False,https://www.yelp.com/biz/kfc-detroit-9?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,17,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.5,"{'latitude': 42.3650219376741, 'longitude': -83.0861641398402}","['delivery', 'pickup']","{'address1': '2716 W Grand Blvd', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['2716 W Grand Blvd', 'Detroit, MI 48208']}",13138754366.0,(313) 875-4366,489.7896949026836,261635224001012.0,$,0.0,522400
4,sA6Tm2V7zr-wTHdE6I9w4g,henry-on-the-boulevard-detroit-2,Henry on the Boulevard,https://s3-media3.fl.yelpcdn.com/bphoto/4Xv4chgErjxtnZCGhlakGw/o.jpg,False,https://www.yelp.com/biz/henry-on-the-boulevard-detroit-2?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,1,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",4.0,"{'latitude': 42.36748110936951, 'longitude': -83.08639101684093}",[],"{'address1': '2799 W Grand Blvd', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['2799 W Grand Blvd', 'Detroit, MI 48202']}",,,677.1975510349198,261635326002015.0, ,5.0,532600
5,m4T9ioz_HMsNRmKLipDsXA,subway-detroit-3,Subway,https://s3-media1.fl.yelpcdn.com/bphoto/wmEZvGvuPcsAcLNvKB1AGg/o.jpg,False,https://www.yelp.com/biz/subway-detroit-3?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,8,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",1.5,"{'latitude': 42.3674330012965, 'longitude': -83.0853964625656}",[],"{'address1': '2799 W Grand Blvd', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['2799 W Grand Blvd', 'Detroit, MI 48202']}",13138758335.0,(313) 875-8335,721.6631506534844,261635326002015.0,$,5.0,532600
6,81d-6023XTeVHTel-IK45g,lincoln-street-art-park-detroit,Lincoln Street Art Park,https://s3-media2.fl.yelpcdn.com/bphoto/MHV4FC0iEs1-Ja1W81W82g/o.jpg,False,https://www.yelp.com/biz/lincoln-street-art-park-detroit?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,13,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'arttours', 'title': 'Art Tours'}]",4.5,"{'latitude': 42.3614607006311, 'longitude': -83.0826694518328}",[],"{'address1': '5926 Lincoln St', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48208', 'country': 'US', 'state': 'MI', 'display_address': ['5926 Lincoln St', 'Detroit, MI 48208']}",,,722.2625600609482,261635224001008.0, ,0.0,522400
7,c4FrztgpfSDuvT7BksY64g,papa-joes-market-detroit,Papa Joe's Market,https://s3-media1.fl.yelpcdn.com/bphoto/tDkilw8Z1KjnuJNnLIFU2Q/o.jpg,False,https://www.yelp.com/biz/papa-joes-market-detroit?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,5,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 42.3676099208916, 'longitude': -83.084699884057}",[],"{'address1': '2799 W Grand Blvd', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['2799 W Grand Blvd', 'Detroit, MI 48202']}",12486095681.0,(248) 609-5681,773.8455085021967,261635326002015.0, ,5.0,532600
8,U65gYGOSAKfhSfU3hxCfqQ,biggby-coffee-detroit-4,BIGGBY COFFEE,https://s3-media2.fl.yelpcdn.com/bphoto/I--izzli8Pr9hDa_i-WSvg/o.jpg,False,https://www.yelp.com/biz/biggby-coffee-detroit-4?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,16,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",2.5,"{'latitude': 42.367619, 'longitude': -83.08461}",['delivery'],"{'address1': '2799 W Grand Blvd', 'address2': '', 'address3': '', 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['2799 W Grand Blvd', 'Detroit, MI 48202']}",13138759413.0,(313) 875-9413,779.504389703235,261635326002015.0,$,5.0,532600
9,_3SXEvZRPtGpu1k_r7gM-Q,zos-good-burger-detroit-2,Zo's Good Burger - New Center Detroit,https://s3-media4.fl.yelpcdn.com/bphoto/40KMB9EmEVk75y3uq38R-Q/o.jpg,False,https://www.yelp.com/biz/zos-good-burger-detroit-2?adjust_creative=uX44REE8PZ9sAUBHiI42ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uX44REE8PZ9sAUBHiI42ww,73,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 42.36712, 'longitude': -83.08036}","['delivery', 'pickup']","{'address1': '2894 W Grand Blvd', 'address2': '', 'address3': None, 'city': 'Detroit', 'zip_code': '48202', 'country': 'US', 'state': 'MI', 'display_address': ['2894 W Grand Blvd', 'Detroit, MI 48202']}",13137710022.0,(313) 771-0022,1008.8690958495512,261635339004009.0,$,1.0,533900
